"zpid","city","zipcode","latitude","longitude","propertyTaxRate","garageSpaces","hasAssociation","hasCooling","hasGarage","hasHeating","hasSpa","hasView","homeType","parkingSpaces","yearBuilt","latestPrice","numPriceChanges","latest_saledate","latest_salemonth","latest_saleyear","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","lotSizeSqFt","livingAreaSqFt","numOfPrimarySchools","numOfElementarySchools","numOfMiddleSchools","numOfHighSchools","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories"
70341946,"del valle",78617,30.168758392334,-97.6164703369141,1.98,2,"True","True","True","True","False","False","Single Family",2,2009,212000,5,"2019-02-27",2,2019,3,2,0,0,0,10802,1752,1,0,1,1,0.566666666666667,3.33333333333333,1626,14,2,4,1
116080992,"austin",78717,30.4864082336426,-97.7947235107422,2.21,0,"True","True","False","True","False","False","Single Family",0,2014,687850,13,"2018-08-28",8,2018,4,2,0,0,0,10672,4564,1,0,1,1,3.26666666666667,7.66666666666667,1259,14,6,5,2
88013985,"austin",78717,30.4943752288818,-97.796516418457,2.21,2,"True","True","True","True","False","True","Single Family",2,2007,409000,4,"2018-12-03",12,2018,6,3,0,0,0,9060,3233,1,0,1,1,1.93333333333333,8.33333333333333,1481,16,4,5,2
70344594,"austin",78724,30.2557067871094,-97.5769577026367,1.98,2,"False","True","True","True","False","False","Single Family",2,2006,199000,3,"2020-12-22",12,2020,2,2,1,0,0,7448,1511,1,0,1,1,2.43333333333333,2.66666666666667,1478,13,2,3,1
185217484,"austin",78717,30.4956378936768,-97.7978744506836,2.21,0,"True","True","False","True","False","False","Single Family",0,2008,4e+05,2,"2020-01-10",1,2020,3,2,0,0,0,7666,2228,1,0,1,1,1.9,8.33333333333333,1481,16,2,3,1
116080981,"austin",78717,30.4887752532959,-97.7948989868164,2.21,2,"True","True","True","True","False","False","Single Family",2,2013,549900,2,"2018-03-13",3,2018,4,3,0,0,0,8494,3494,1,0,1,1,3.3,7.66666666666667,1259,14,5,4,2
29462564,"austin",78725,30.233154296875,-97.5873184204102,1.98,2,"False","True","True","True","False","False","Single Family",2,1999,240000,2,"2020-12-31",12,2020,4,2,2,0,0,5183,1534,1,0,1,1,1.8,3,1457,13,3,3,1
70355992,"austin",78725,30.2380657196045,-97.5780181884766,1.98,2,"True","True","True","True","False","False","Single Family",2,2013,249900,1,"2020-12-04",12,2020,3,2,1,1,0,7405,1738,1,0,1,1,1.96666666666667,3,1457,13,2,3,1
89659978,"austin",78717,30.4921894073486,-97.793083190918,2.21,3,"True","True","True","True","False","False","Single Family",3,2010,4e+05,2,"2020-04-22",4,2020,3,3,2,1,0,12196.8,2630,1,0,1,1,2.03333333333333,8.33333333333333,1481,16,3,5,2
70355990,"austin",78725,30.2382373809814,-97.5783309936523,1.98,2,"True","True","True","True","False","False","Single Family",2,2012,2e+05,1,"2018-01-30",1,2018,5,2,0,0,0,8145,1652,1,0,1,1,1.96666666666667,3,1457,13,2,3,1
70333917,"austin",78726,30.426456451416,-97.8592910766602,1.98,2,"True","True","True","True","False","True","Single Family",2,2004,875000,2,"2020-11-09",11,2020,8,2,4,1,0,30056.4,3402,1,0,1,1,2.06666666666667,7,1277,16,4,4,2
29471292,"austin",78747,30.103401184082,-97.716911315918,1.98,2,"False","True","True","True","False","False","Single Family",2,1970,164995,4,"2020-10-27",10,2020,1,2,2,2,0,102366,2350,1,0,1,1,4.76666666666667,3.33333333333333,1557,14,2,3,1
241932966,"austin",78744,30.1761455535889,-97.6981430053711,1.98,2,"True","True","True","True","False","False","Single Family",2,2016,287500,2,"2019-04-18",4,2019,4,2,0,0,0,6141,1634,1,0,1,1,2.9,3.66666666666667,1532,12,2,3,1
116080975,"austin",78717,30.4889965057373,-97.7937927246094,2.21,2,"True","True","True","True","False","False","Single Family",2,2013,650000,1,"2020-03-25",3,2020,3,3,1,0,0,8363,3047,1,0,1,1,3.3,7.66666666666667,1259,14,4,4,1
145656987,"austin",78725,30.2417678833008,-97.5790557861328,1.98,0,"True","True","False","True","False","False","Single Family",0,2015,196000,1,"2019-01-10",1,2019,7,1,0,0,0,5532,1399,1,0,1,1,1.93333333333333,3,1457,13,2,3,1
83821490,"austin",78747,30.0850296020508,-97.6997909545898,1.98,0,"False","False","False","True","False","False","Single Family",0,1985,239999,5,"2018-08-23",8,2018,1,0,0,0,0,411206.4,1264,1,0,1,1,5.36666666666667,3.33333333333333,1557,14,2,3,1
70333915,"austin",78726,30.4259643554688,-97.8584060668945,1.98,0,"True","True","False","True","False","False","Single Family",0,2005,830000,5,"2019-09-17",9,2019,4,1,1,3,0,19166.4,3573,1,0,1,1,2,7,1277,16,5,4,2
29462467,"austin",78725,30.2315845489502,-97.5912628173828,1.98,0,"True","True","False","True","False","False","Single Family",0,2000,219990,1,"2019-06-07",6,2019,4,1,0,1,0,6229,2035,1,0,1,1,1.76666666666667,3,1457,13,3,3,2
89548387,"austin",78725,30.2150993347168,-97.6364364624023,1.98,0,"True","True","False","True","False","False","Single Family",0,2009,195000,1,"2019-03-28",3,2019,4,1,0,0,0,6751,1304,1,0,1,1,3.26666666666667,3,1457,13,2,3,1
29366912,"austin",78732,30.4159870147705,-97.9005584716797,1.98,7,"True","True","True","True","True","True","Single Family",7,2005,4250000,7,"2018-08-15",8,2018,7,2,0,0,0,106286.4,7284,1,0,1,1,4.1,7,1277,16,7,7,2
241932964,"austin",78744,30.1754455566406,-97.6981582641602,1.98,2,"True","True","True","True","False","False","Single Family",2,2016,309999,1,"2018-03-26",3,2018,7,2,0,0,0,7100,1907,1,0,1,1,2.9,3.66666666666667,1532,12,3,3,2
29376494,"austin",78726,30.4428997039795,-97.8246459960938,1.98,2,"True","True","True","True","False","False","Single Family",2,1988,427000,5,"2020-03-04",3,2020,2,2,2,2,0,10890,2484,1,0,1,1,1.23333333333333,8,1275,15,3,4,2
69808963,"austin",78725,30.2261028289795,-97.5905227661133,1.98,0,"True","True","False","True","False","False","Single Family",0,2006,205000,2,"2018-01-25",1,2018,6,1,0,0,0,4399,2088,1,0,1,1,1.9,3,1457,13,3,4,1
121656950,"austin",78747,30.1183757781982,-97.7049026489258,1.98,0,"False","True","False","True","False","False","Single Family",0,2013,3e+05,4,"2018-11-30",11,2018,2,0,0,0,0,43560,2100,1,0,1,1,4.9,3.66666666666667,1532,12,3,4,1
185217474,"austin",78717,30.4941444396973,-97.7975311279297,2.21,0,"True","True","False","True","False","True","Single Family",0,2008,344600,3,"2019-09-05",9,2019,5,2,2,0,0,6786,2134,1,0,1,1,2,8.33333333333333,1481,16,3,3,2
29366911,"austin",78732,30.4167060852051,-97.9007034301758,1.98,2,"False","True","True","True","True","True","Single Family",2,1992,3395000,9,"2020-07-10",7,2020,4,3,3,0,2,86684.4,4747,1,0,1,1,4.16666666666667,7,1277,16,5,5,1
145657963,"austin",78744,30.1614799499512,-97.7212524414062,1.98,2,"True","True","True","True","False","False","Single Family",2,2015,399900,1,"2020-06-26",6,2020,4,2,1,4,0,8537,2629,1,0,1,1,3.13333333333333,3.66666666666667,1532,12,3,3,1
29370494,"austin",78750,30.4263935089111,-97.7927322387695,1.98,2,"False","True","True","True","True","False","Single Family",2,1991,648000,6,"2020-11-30",11,2020,6,2,2,2,0,11325.6,2567,1,0,1,1,1.16666666666667,9,1616,16,3,4,2
89548844,"austin",78725,30.2131175994873,-97.6372833251953,1.98,0,"True","True","False","True","False","False","Single Family",0,2009,186500,1,"2018-02-01",2,2018,3,1,0,0,0,7797,1420,1,0,1,1,3.3,3,1457,13,2,3,1
125901465,"austin",78725,30.2382354736328,-97.580436706543,1.98,2,"True","True","True","True","False","False","Single Family",2,2015,219000,1,"2020-04-03",4,2020,5,2,1,1,0,4617,1267,1,0,1,1,1.9,3,1457,13,2,3,1
63228462,"austin",78725,30.2292938232422,-97.5900726318359,1.98,0,"True","True","False","True","False","False","Single Family",0,2004,179900,1,"2018-03-22",3,2018,0,1,0,0,0,5924,1194,1,0,1,1,1.83333333333333,3,1457,13,2,3,1
96639474,"austin",78729,30.4632568359375,-97.7858047485352,2.21,0,"True","True","False","True","False","False","Single Family",0,2011,405000,1,"2020-02-18",2,2020,3,2,2,1,0,5619,2142,1,0,1,1,2.3,6,1228,14,2,3,1
80094409,"austin",78732,30.4186000823975,-97.8905715942383,1.98,5,"True","True","True","True","False","True","Single Family",5,2006,2950000,4,"2019-10-17",10,2019,4,4,0,0,0,68389.2,9591,1,0,1,1,3.53333333333333,7,1277,16,7,5,2
64431038,"austin",78747,30.1158313751221,-97.7160720825195,1.98,0,"False","True","False","True","False","True","Single Family",0,1993,565000,1,"2019-08-01",8,2019,2,1,3,2,0,1001880,2169,1,0,1,1,4.63333333333333,3.33333333333333,1557,14,3,3,2
89547842,"austin",78725,30.2150192260742,-97.6380462646484,1.98,0,"True","True","False","True","False","False","Single Family",0,2014,194098,1,"2019-03-06",3,2019,5,1,0,0,0,5445,1296,1,0,1,1,3.33333333333333,3,1457,13,2,3,1
251030464,"austin",78724,30.2593727111816,-97.5867462158203,1.98,1,"True","True","True","True","False","False","Single Family",1,2018,255700,2,"2019-04-05",4,2019,3,2,0,0,0,6098,2570,1,0,1,1,2.2,2.66666666666667,1478,13,3,4,2
29376491,"austin",78726,30.4423866271973,-97.8249969482422,1.98,0,"True","True","False","True","False","False","Single Family",0,1989,495000,1,"2019-06-07",6,2019,3,1,0,0,0,9147,3140,1,0,1,1,1.23333333333333,8,1275,15,3,5,2
241932962,"austin",78744,30.1761322021484,-97.6977310180664,1.98,2,"True","True","True","True","False","False","Single Family",2,2016,325000,4,"2020-08-18",8,2020,4,2,1,1,0,6141,2068,1,0,1,1,2.9,3.66666666666667,1532,12,3,4,2
64729016,"austin",78719,30.1030197143555,-97.6912994384766,1.98,2,"False","True","True","True","False","False","Single Family",2,1982,250000,1,"2020-08-13",8,2020,3,2,2,0,0,64468.8,2736,1,0,1,1,4.83333333333333,3.33333333333333,1557,14,2,4,1
70355962,"austin",78725,30.2389507293701,-97.5803298950195,1.98,2,"True","True","True","True","False","True","Single Family",2,2006,198500,4,"2020-04-13",4,2020,5,2,1,1,0,5749,1807,1,0,1,1,1.86666666666667,3,1457,13,2,4,1
29376490,"austin",78726,30.4422283172607,-97.8251113891602,1.98,2,"True","True","True","True","False","True","Single Family",2,1990,485000,1,"2020-10-30",10,2020,5,2,1,1,0,8624,2956,1,0,1,1,1.23333333333333,8,1275,15,3,5,1
29366907,"austin",78732,30.4180946350098,-97.9008178710938,1.98,6,"False","True","True","True","True","True","Single Family",6,1996,5495000,5,"2020-10-28",10,2020,2,2,0,0,0,24829.2,8800,1,0,1,1,4.16666666666667,7,1277,16,8,5,3
250825472,"austin",78717,30.4920291900635,-97.7991790771484,2.21,2,"True","True","True","True","False","False","Single Family",2,2016,440000,1,"2020-05-15",5,2020,4,3,1,2,0,5536,2595,1,0,1,1,2.1,8.33333333333333,1481,16,3,5,2
89550834,"austin",78725,30.2129650115967,-97.6372680664062,1.98,0,"True","True","False","True","False","False","Single Family",0,2010,225000,2,"2019-02-01",2,2019,5,1,0,0,0,9626,1420,1,0,1,1,3.3,3,1457,13,2,3,1
64674953,"austin",78725,30.2400455474854,-97.5873565673828,1.98,2,"True","True","True","True","False","True","Single Family",2,2003,207900,4,"2018-07-04",7,2018,2,2,0,0,0,5314,1929,1,0,1,1,1.63333333333333,3,1457,13,2,3,1
29374483,"austin",78750,30.4339714050293,-97.8055191040039,1.98,2,"True","True","True","True","True","False","Single Family",2,1976,575000,1,"2021-01-08",1,2021,4,2,1,0,0,14810.4,2170,0,1,1,1,1.2,8.66666666666667,1632,16,2,4,1
29461422,"austin",78725,30.2372131347656,-97.5835494995117,1.98,0,"True","True","False","True","False","False","Single Family",0,1996,2e+05,1,"2019-09-24",9,2019,2,1,0,1,0,6969,1592,1,0,1,1,1.76666666666667,3,1457,13,3,3,2
116080970,"austin",78717,30.4886169433594,-97.7928085327148,2.21,0,"True","True","False","True","False","False","Single Family",0,2016,675000,2,"2019-07-25",7,2019,3,2,1,0,0,12632.4,3837,1,0,1,1,3.26666666666667,7.66666666666667,1259,14,5,5,2
70333905,"austin",78726,30.4246311187744,-97.8576889038086,1.98,0,"True","True","False","True","False","False","Single Family",0,2011,975000,1,"2018-01-31",1,2018,3,1,0,0,0,58806,3450,1,0,1,1,1.9,7,1277,16,4,4,1
29557482,"austin",78729,30.4529762268066,-97.7869491577148,2.21,6,"False","True","True","True","False","False","Single Family",6,1976,259000,2,"2019-01-19",1,2019,4,3,0,0,0,16552.8,1239,1,0,1,1,1.76666666666667,5.33333333333333,1369,12,2,3,1
241932948,"austin",78744,30.1765880584717,-97.697380065918,1.98,0,"True","True","False","True","False","False","Single Family",0,2016,275000,1,"2020-02-10",2,2020,4,1,0,0,0,5488,1449,1,0,1,1,2.9,3.66666666666667,1532,12,2,3,1
29461406,"austin",78725,30.2369918823242,-97.585334777832,1.98,0,"True","True","False","True","False","False","Single Family",0,1997,199999,4,"2019-08-23",8,2019,3,1,1,0,0,5227,1335,1,0,1,1,1.73333333333333,3,1457,13,2,3,1
2081704483,"austin",78725,30.2200584411621,-97.6346054077148,1.98,2,"True","True","True","True","False","False","Single Family",2,2020,268729,5,"2020-06-29",6,2020,3,1,0,1,0,4800,1514,1,0,1,1,3.13333333333333,3,1457,13,2,3,1
116080962,"austin",78717,30.4880485534668,-97.7940139770508,2.21,0,"True","True","False","True","False","False","Single Family",0,2013,625000,1,"2019-07-22",7,2019,2,2,1,0,0,15681.6,3111,1,0,1,1,3.26666666666667,7.66666666666667,1259,14,3,4,1
29376480,"austin",78726,30.4431171417236,-97.8240737915039,1.98,4,"True","True","True","True","False","False","Single Family",4,1989,435000,7,"2020-07-24",7,2020,2,2,2,0,0,8973,3113,1,0,1,1,1.2,8,1275,15,3,4,2
241932946,"austin",78744,30.1762065887451,-97.696533203125,1.98,0,"True","True","False","True","False","False","Single Family",0,2016,285000,2,"2018-12-21",12,2018,4,1,0,0,0,5662,1973,1,0,1,1,2.9,3.66666666666667,1532,12,3,3,2
241932900,"austin",78725,30.2367706298828,-97.5817565917969,1.98,0,"True","True","False","True","False","False","Single Family",0,2016,215000,1,"2019-08-16",8,2019,3,1,0,0,0,5749,1370,1,0,1,1,1.83333333333333,3,1457,13,2,3,1
29370900,"austin",78726,30.4230632781982,-97.8630676269531,1.98,2,"True","True","True","True","False","False","Single Family",2,2000,519500,3,"2020-11-04",11,2020,2,2,1,3,0,7666,3055,1,0,1,1,2.1,7,1277,16,4,4,2
29372980,"austin",78726,30.432731628418,-97.8270034790039,1.98,0,"True","True","False","True","False","False","Single Family",0,1995,463700,1,"2018-10-02",10,2018,2,1,0,0,0,9539,3115,1,0,1,1,1.53333333333333,8,1275,15,3,4,2
29459947,"austin",78725,30.2431354522705,-97.5855255126953,1.98,2,"True","True","True","True","False","False","Single Family",2,1987,209900,1,"2020-03-03",3,2020,7,2,0,0,0,5558,1419,1,0,1,1,1.66666666666667,3,1457,13,2,3,1
241932936,"austin",78744,30.1784954071045,-97.696662902832,1.98,2,"True","True","True","True","False","False","Single Family",2,2016,375000,2,"2020-08-31",8,2020,2,2,1,0,0,6969,2682,1,0,1,1,2.9,3.66666666666667,1532,12,5,7,2
89550803,"austin",78725,30.2156448364258,-97.6355514526367,1.98,2,"True","True","True","True","False","False","Single Family",2,2014,229900,1,"2020-06-29",6,2020,2,2,1,1,0,4573,1936,1,0,1,1,3.2,3,1457,13,3,4,2
29370898,"austin",78726,30.42333984375,-97.8644104003906,1.98,2,"True","True","True","True","False","True","Single Family",2,2001,549900,1,"2018-08-24",8,2018,3,2,0,0,0,10105,3794,1,0,1,1,2.13333333333333,7,1277,16,4,4,2
29358990,"austin",78750,30.3759994506836,-97.7984848022461,1.98,0,"True","True","False","True","False","False","Single Family",0,1983,690000,3,"2019-01-19",1,2019,5,1,0,0,0,10367,2967,1,0,1,1,2.93333333333333,7,1523,17,3,4,2
116080957,"austin",78717,30.4883518218994,-97.7944564819336,2.21,0,"True","True","False","True","False","False","Single Family",0,2014,584900,1,"2019-03-18",3,2019,3,2,0,0,0,7501,3787,1,0,1,1,3.3,7.66666666666667,1259,14,4,5,2
111373282,"pflugerville",78660,30.4310092926025,-97.6620407104492,1.98,2,"True","True","True","True","False","False","Single Family",2,2011,287500,3,"2018-06-30",6,2018,3,2,0,0,0,7623,2314,1,0,1,1,1.33333333333333,2.66666666666667,1063,14,3,5,1
29375979,"austin",78750,30.4432811737061,-97.7982788085938,1.98,0,"True","True","False","True","False","False","Single Family",0,1977,599800,2,"2019-09-30",9,2019,7,1,2,1,0,11325.6,2753,0,1,1,1,0.833333333333333,8.66666666666667,1632,16,3,5,1
241932935,"austin",78744,30.1782112121582,-97.6968231201172,1.98,0,"True","True","False","True","False","False","Single Family",0,2016,325000,1,"2018-09-12",9,2018,4,1,0,0,0,6185,2068,1,0,1,1,2.9,3.66666666666667,1532,12,3,4,2
80115957,"austin",78717,30.5004444122314,-97.7909088134766,2.21,2,"True","True","True","True","False","False","Single Family",2,2006,350000,2,"2020-08-26",8,2020,4,3,1,1,0,5140,1791,1,0,1,1,1.63333333333333,8.33333333333333,1481,16,3,3,2
29370894,"austin",78726,30.4236278533936,-97.8633499145508,1.98,0,"True","True","False","True","False","False","Single Family",0,2001,574900,1,"2018-03-01",3,2018,3,1,0,0,0,11325.6,3338,1,0,1,1,2.13333333333333,7,1277,16,4,4,2
29375978,"austin",78750,30.4436836242676,-97.7979354858398,1.98,0,"True","True","False","True","False","False","Single Family",0,1977,699900,3,"2019-10-25",10,2019,3,1,1,1,0,27442.8,2997,0,1,1,1,0.833333333333333,8.66666666666667,1632,16,3,4,1
145654939,"austin",78725,30.2413921356201,-97.5765838623047,1.98,0,"True","True","False","True","False","False","Single Family",0,2017,205000,2,"2019-09-20",9,2019,3,1,0,0,0,7274,1225,1,0,1,1,2.03333333333333,3,1457,13,2,3,1
29370884,"austin",78726,30.4257164001465,-97.8606414794922,1.98,2,"True","True","True","True","False","False","Single Family",2,2002,425000,3,"2020-09-01",9,2020,3,2,1,2,0,9670,2864,1,0,1,1,2.06666666666667,7,1277,16,3,5,1
29351485,"austin",78731,30.3537712097168,-97.7936248779297,1.98,0,"True","True","False","True","False","False","Single Family",0,1984,425000,1,"2019-07-17",7,2019,7,1,0,2,0,3920,1573,1,0,1,1,3.43333333333333,7,1177,16,2,3,1
29372475,"austin",78750,30.4285068511963,-97.7942504882812,1.98,2,"True","True","True","True","False","True","Single Family",2,1988,684000,3,"2020-10-05",10,2020,3,2,1,1,0,10454,2656,1,0,1,1,1.2,9,1616,16,3,4,2
185218453,"austin",78717,30.4936752319336,-97.7860107421875,2.21,2,"True","True","True","True","False","True","Single Family",2,2002,359965,1,"2020-07-15",7,2020,4,3,2,1,0,5140,1975,1,0,1,1,2,8.33333333333333,1481,16,3,4,2
29392994,"austin",78725,30.2816600799561,-97.661735534668,1.98,0,"False","True","False","True","False","False","Single Family",0,1971,120000,7,"2018-06-25",6,2018,1,1,0,0,0,9452,1745,1,0,1,1,2.46666666666667,3.66666666666667,480,14,2,4,1
111371253,"pflugerville",78660,30.4310626983642,-97.6622161865234,1.98,0,"True","True","False","True","False","False","Single Family",0,2011,225000,5,"2018-10-12",10,2018,4,1,0,0,0,8276,1375,1,0,1,1,1.33333333333333,2.66666666666667,1063,14,2,3,1
2088245915,"austin",78744,30.161039352417,-97.715950012207,1.98,0,"True","True","False","True","False","False","Single Family",0,2017,388990,3,"2018-10-31",10,2018,4,1,0,0,0,6969,2502,1,0,1,1,3.1,3.66666666666667,1532,12,3,4,1
29373974,"austin",78750,30.4355907440186,-97.785774230957,1.98,2,"True","True","True","True","False","True","Single Family",2,1972,435000,2,"2018-10-03",10,2018,3,2,0,0,0,16988.4,2313,0,1,1,1,1.1,8.66666666666667,1632,16,2,4,1
29360984,"austin",78750,30.3807163238525,-97.7895584106445,1.98,2,"True","True","True","True","True","True","Single Family",2,1989,795000,2,"2020-07-10",7,2020,7,2,0,1,0,15246,2700,1,0,1,1,2.5,7,1523,17,3,4,2
241932874,"austin",78725,30.2364826202392,-97.5824127197266,1.98,4,"True","True","True","True","False","False","Single Family",4,2016,218800,2,"2019-05-10",5,2019,3,2,0,0,0,5706,1480,1,0,1,1,1.83333333333333,3,1457,13,2,3,1
29376473,"austin",78726,30.4424533843994,-97.8227691650391,1.98,0,"True","True","False","True","False","False","Single Family",0,1989,368500,2,"2018-03-27",3,2018,0,1,0,0,0,7230,2267,1,0,1,1,1.2,8,1275,15,2,4,1
305430992,"austin",78724,30.29319190979,-97.6419677734375,1.98,2,"True","True","True","True","False","True","Single Family",2,2018,454500,1,"2020-10-19",10,2020,1,2,2,2,0,5749,2508,1,0,1,2,2.93333333333333,3.66666666666667,1085,11,3,3,1
251030246,"pflugerville",78660,30.4134311676025,-97.6442642211914,1.98,2,"True","True","True","True","False","False","Single Family",2,2017,285000,1,"2020-07-02",7,2020,3,2,0,1,0,12196.8,1791,1,0,1,1,1.2,3.66666666666667,1051,12,2,3,1
29347484,"austin",78730,30.3563251495361,-97.8372344970703,1.98,3,"True","True","True","True","False","True","Single Family",3,1996,799000,5,"2019-06-21",6,2019,2,2,0,0,0,142441.2,4491,1,0,1,1,2.46666666666667,7,1381,16,7,5,2
69811366,"austin",78725,30.2332057952881,-97.5913543701172,1.98,0,"True","True","False","True","False","False","Single Family",0,2010,199000,2,"2020-02-11",2,2020,3,1,0,0,0,4007,1268,1,0,1,1,1.73333333333333,3,1457,13,2,3,1
116080950,"austin",78717,30.4877796173096,-97.7927703857422,2.21,0,"True","True","False","True","False","False","Single Family",0,2014,622800,1,"2018-12-31",12,2018,3,2,0,0,0,7187,2903,1,0,1,1,3.26666666666667,7.66666666666667,1259,14,3,3,1
29370873,"austin",78726,30.4237022399902,-97.8621444702148,1.98,0,"True","True","False","True","False","False","Single Family",0,2000,429000,9,"2020-01-22",1,2020,5,1,1,0,0,11325.6,3033,1,0,1,1,2.03333333333333,7,1277,16,4,4,2
83814991,"austin",78724,30.2835445404053,-97.6262130737305,1.98,0,"True","True","False","True","False","False","Single Family",0,2009,259900,1,"2019-03-13",3,2019,3,1,0,0,0,12196.8,2573,1,0,1,2,2.73333333333333,3.66666666666667,1085,11,3,3,2
29375973,"austin",78750,30.4385547637939,-97.7947235107422,1.98,5,"True","True","True","True","False","True","Single Family",5,1977,629000,3,"2020-10-22",10,2020,7,2,3,1,0,13503.6,2340,0,1,1,1,0.9,8.66666666666667,1632,16,3,4,2
116080945,"austin",78717,30.4875736236572,-97.7937240600586,2.21,0,"True","True","False","True","False","True","Single Family",0,2014,525000,3,"2019-02-20",2,2019,3,2,0,0,0,7710,3187,1,0,1,1,3.26666666666667,7.66666666666667,1259,14,3,4,2
29370860,"austin",78726,30.4244270324707,-97.862419128418,1.98,2,"True","True","True","True","False","False","Single Family",2,2002,345000,6,"2020-11-17",11,2020,1,3,4,2,0,7492,3675,1,0,1,1,2.13333333333333,7,1277,16,4,5,2
